,date,area_name,area_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
22681,2020-11-20,Newham,E09000025,-57,-11,101,-50,-47,18
10019,2020-11-20,Ealing,E09000009,-44,-4,19,-47,-45,20
8071,2020-11-20,Camden,E09000007,-82,-32,-25,-73,-60,26
2227,2020-11-20,Westminster,E09000033,-89,-45,-70,-75,-62,25
17811,2020-11-20,Hounslow,E09000018,-44,-9,2,-43,-44,18
15863,2020-11-20,Havering,E09000016,-52,-7,-16,-43,-45,19
32421,2020-11-20,Kingston upon Thames,E09000021,-63,-15,48,-52,-51,22
3201,2020-11-20,Barking and Dagenham,E09000002,-40,2,12,-36,-34,15
12941,2020-11-20,Hammersmith and Fulham,E09000013,-71,-23,-10,-57,-60,26
30473,2020-11-20,Greenwich,E09000011,-55,-4,-15,-43,-52,21
31447,2020-11-20,Kensington and Chelsea,E09000020,-75,-8,-23,-62,-57,24
21707,2020-11-20,Merton,E09000024,-57,-7,-11,-51,-49,22
20733,2020-11-20,Lewisham,E09000023,-43,3,20,-47,-53,23
19759,2020-11-20,Lambeth,E09000022,-66,-8,-15,-63,-56,26
10993,2020-11-20,Enfield,E09000010,-42,0,-9,-42,-39,17
30472,2020-11-19,Greenwich,E09000011,-53,-7,-13,-49,-54,21
12940,2020-11-19,Hammersmith and Fulham,E09000013,-69,-24,-3,-59,-62,25
6122,2020-11-19,Brent,E09000005,-47,-5,41,-44,-46,18
8070,2020-11-19,Camden,E09000007,-81,-36,-19,-74,-63,27
26576,2020-11-19,Sutton,E09000029,-46,-9,17,-56,-50,20
32420,2020-11-19,Kingston upon Thames,E09000021,-63,-17,,-52,-53,23
11966,2020-11-19,Hackney,E09000012,-63,-5,18,-56,-56,23
15862,2020-11-19,Havering,E09000016,-50,-6,-17,-46,-44,18
18784,2020-11-19,Islington,E09000019,-75,-20,4,-68,-65,29
5148,2020-11-19,Bexley,E09000004,-49,-6,6,-50,-46,19
16836,2020-11-19,Hillingdon,E09000017,-48,-6,43,-69,-42,18
1252,2020-11-19,City of London,E09000001,-92,-74,-88,-81,-66,
27550,2020-11-19,Tower Hamlets,E09000030,-65,-23,-37,-68,-64,28
10992,2020-11-19,Enfield,E09000010,-42,-3,-1,-45,-42,17
10018,2020-11-19,Ealing,E09000009,-42,-5,33,-49,-45,19
22680,2020-11-19,Newham,E09000025,-57,-14,97,-55,-47,18
24628,2020-11-19,Richmond upon Thames,E09000027,-54,-4,32,-55,-59,24
9044,2020-11-19,Croydon,E09000008,-53,-5,24,-54,-43,19
13914,2020-11-19,Haringey,E09000014,-50,-11,14,-51,-53,21
14888,2020-11-19,Harrow,E09000015,-49,-10,33,-48,-42,19
29498,2020-11-19,Wandsworth,E09000032,-57,-10,16,-54,-59,28
23654,2020-11-19,Redbridge,E09000026,-43,-13,-11,-52,-47,18
3200,2020-11-19,Barking and Dagenham,E09000002,-38,-6,10,-36,-36,14
7096,2020-11-19,Bromley,E09000006,-50,-13,3,-51,-51,22
19758,2020-11-19,Lambeth,E09000022,-64,-13,-4,-65,-56,25
21706,2020-11-19,Merton,E09000024,-54,-16,-2,-52,-52,22
25602,2020-11-19,Southwark,E09000028,-64,-18,-30,-63,-55,25
2226,2020-11-19,Westminster,E09000033,-87,-47,-62,-75,-64,25
17810,2020-11-19,Hounslow,E09000018,-43,-10,16,-47,-43,18
4174,2020-11-19,Barnet,E09000003,-47,-11,28,-51,-49,21
31446,2020-11-19,Kensington and Chelsea,E09000020,-73,-10,-17,-63,-59,25
20732,2020-11-19,Lewisham,E09000023,-45,-1,33,-51,-55,23
28524,2020-11-19,Waltham Forest,E09000031,-39,-5,7,-51,-49,20
25601,2020-11-18,Southwark,E09000028,-62,-17,-17,-61,-57,24
21705,2020-11-18,Merton,E09000024,-54,-17,16,-53,-51,21
29497,2020-11-18,Wandsworth,E09000032,-55,-13,24,-56,-58,27
5147,2020-11-18,Bexley,E09000004,-47,-7,40,-50,-46,19
12939,2020-11-18,Hammersmith and Fulham,E09000013,-67,-27,4,-58,-61,25
9043,2020-11-18,Croydon,E09000008,-51,-6,32,-52,-41,19
16835,2020-11-18,Hillingdon,E09000017,-47,-11,41,-70,-41,18
10017,2020-11-18,Ealing,E09000009,-40,-11,28,-48,-46,19
1251,2020-11-18,City of London,E09000001,-91,-72,-84,-80,-65,
4173,2020-11-18,Barnet,E09000003,-47,-12,27,-49,-49,21
17809,2020-11-18,Hounslow,E09000018,-43,-12,20,-44,-42,18
11965,2020-11-18,Hackney,E09000012,-60,-7,35,-58,-55,23
32419,2020-11-18,Kingston upon Thames,E09000021,-62,-20,,-52,-52,22
8069,2020-11-18,Camden,E09000007,-80,-39,-9,-73,-61,25
13913,2020-11-18,Haringey,E09000014,-50,-13,14,-55,-53,21
19757,2020-11-18,Lambeth,E09000022,-62,-14,4,-66,-55,25
28523,2020-11-18,Waltham Forest,E09000031,-36,-5,21,-51,-47,19
24627,2020-11-18,Richmond upon Thames,E09000027,-54,-9,24,-55,-59,24
20731,2020-11-18,Lewisham,E09000023,-43,-1,50,-50,-52,22
30471,2020-11-18,Greenwich,E09000011,-52,-8,2,-45,-51,20
23653,2020-11-18,Redbridge,E09000026,-44,-9,13,-46,-46,18
14887,2020-11-18,Harrow,E09000015,-49,-9,45,-44,-42,19
15861,2020-11-18,Havering,E09000016,-48,-11,2,-44,-44,18
26575,2020-11-18,Sutton,E09000029,-47,-9,39,-54,-49,19
6121,2020-11-18,Brent,E09000005,-48,-6,47,-44,-45,18
3199,2020-11-18,Barking and Dagenham,E09000002,-36,-1,20,-40,-36,14
27549,2020-11-18,Tower Hamlets,E09000030,-64,-23,-30,-66,-62,26
31445,2020-11-18,Kensington and Chelsea,E09000020,-70,-11,-6,-64,-57,23
18783,2020-11-18,Islington,E09000019,-74,-23,21,-68,-65,28
10991,2020-11-18,Enfield,E09000010,-41,-7,15,-45,-40,17
22679,2020-11-18,Newham,E09000025,-57,-13,130,-52,-45,18
2225,2020-11-18,Westminster,E09000033,-87,-46,-58,-75,-63,24
7095,2020-11-18,Bromley,E09000006,-49,-12,17,-48,-50,22
19756,2020-11-17,Lambeth,E09000022,-62,-13,7,-64,-55,24
15860,2020-11-17,Havering,E09000016,-49,-8,-1,-44,-44,17
23652,2020-11-17,Redbridge,E09000026,-42,-4,7,-47,-48,17
32418,2020-11-17,Kingston upon Thames,E09000021,-60,-17,,-50,-52,22
8068,2020-11-17,Camden,E09000007,-79,-36,-9,-73,-63,25
16834,2020-11-17,Hillingdon,E09000017,-46,-9,47,-69,-42,18
10016,2020-11-17,Ealing,E09000009,-40,-12,41,-48,-45,19
6120,2020-11-17,Brent,E09000005,-48,-7,76,-42,-45,17
21704,2020-11-17,Merton,E09000024,-52,-16,21,-51,-52,21
3198,2020-11-17,Barking and Dagenham,E09000002,-35,-9,36,-36,-37,14
12938,2020-11-17,Hammersmith and Fulham,E09000013,-68,-27,3,-57,-62,24
24626,2020-11-17,Richmond upon Thames,E09000027,-55,-4,31,-56,-59,23
27548,2020-11-17,Tower Hamlets,E09000030,-63,-21,-28,-65,-65,25
1250,2020-11-17,City of London,E09000001,-91,-72,-86,-80,-69,
2224,2020-11-17,Westminster,E09000033,-86,-45,-55,-74,-64,24
10990,2020-11-17,Enfield,E09000010,-41,-8,22,-42,-41,16
14886,2020-11-17,Harrow,E09000015,-47,-8,58,-43,-41,18
4172,2020-11-17,Barnet,E09000003,-45,-12,52,-47,-49,20
31444,2020-11-17,Kensington and Chelsea,E09000020,-70,-8,-10,-63,-60,22
18782,2020-11-17,Islington,E09000019,-72,-23,25,-69,-66,27
11964,2020-11-17,Hackney,E09000012,-60,-10,36,-56,-57,22
26574,2020-11-17,Sutton,E09000029,-44,-10,41,-53,-50,19
30470,2020-11-17,Greenwich,E09000011,-50,-7,2,-43,-53,20
17808,2020-11-17,Hounslow,E09000018,-40,-13,40,-45,-44,17
13912,2020-11-17,Haringey,E09000014,-47,-12,31,-50,-55,20
29496,2020-11-17,Wandsworth,E09000032,-55,-13,30,-54,-59,26
5146,2020-11-17,Bexley,E09000004,-46,-6,32,-52,-46,18
25600,2020-11-17,Southwark,E09000028,-60,-17,-16,-61,-57,23
22678,2020-11-17,Newham,E09000025,-52,-13,133,-50,-48,17
7094,2020-11-17,Bromley,E09000006,-48,-3,21,-51,-51,21
9042,2020-11-17,Croydon,E09000008,-51,-3,40,-52,-44,18
28522,2020-11-17,Waltham Forest,E09000031,-38,-8,27,-50,-51,19
20730,2020-11-17,Lewisham,E09000023,-41,-2,52,-49,-54,22
2223,2020-11-16,Westminster,E09000033,-86,-45,-55,-74,-64,24
9041,2020-11-16,Croydon,E09000008,-51,-7,40,-49,-41,18
8067,2020-11-16,Camden,E09000007,-78,-41,0,-72,-63,25
14885,2020-11-16,Harrow,E09000015,-47,-8,56,-45,-44,18
24625,2020-11-16,Richmond upon Thames,E09000027,-52,-9,26,-56,-60,22
17807,2020-11-16,Hounslow,E09000018,-41,-12,22,-45,-44,17
16833,2020-11-16,Hillingdon,E09000017,-47,-9,50,-71,-42,17
22677,2020-11-16,Newham,E09000025,-53,-14,133,-48,-47,17
4171,2020-11-16,Barnet,E09000003,-48,-13,38,-50,-49,19
12937,2020-11-16,Hammersmith and Fulham,E09000013,-68,-29,5,-56,-61,24
18781,2020-11-16,Islington,E09000019,-72,-28,12,-66,-66,27
21703,2020-11-16,Merton,E09000024,-52,-14,20,-50,-52,20
23651,2020-11-16,Redbridge,E09000026,-43,-12,2,-48,-46,17
19755,2020-11-16,Lambeth,E09000022,-60,-16,5,-64,-56,23
30469,2020-11-16,Greenwich,E09000011,-48,-8,5,-42,-53,19
1249,2020-11-16,City of London,E09000001,-90,-74,-85,-80,-65,
7093,2020-11-16,Bromley,E09000006,-50,-10,14,-51,-51,20
31443,2020-11-16,Kensington and Chelsea,E09000020,-71,-10,-12,-63,-58,22
28521,2020-11-16,Waltham Forest,E09000031,-36,-8,16,-50,-49,18
26573,2020-11-16,Sutton,E09000029,-44,-10,51,-54,-50,18
27547,2020-11-16,Tower Hamlets,E09000030,-62,-24,-28,-64,-64,25
29495,2020-11-16,Wandsworth,E09000032,-56,-18,24,-56,-60,25
10989,2020-11-16,Enfield,E09000010,-39,-8,18,-42,-41,16
3197,2020-11-16,Barking and Dagenham,E09000002,-33,-8,23,-37,-37,13
25599,2020-11-16,Southwark,E09000028,-60,-18,-15,-62,-57,23
5145,2020-11-16,Bexley,E09000004,-46,-11,27,-49,-47,18
6119,2020-11-16,Brent,E09000005,-49,-7,65,-44,-46,17
20729,2020-11-16,Lewisham,E09000023,-41,-7,40,-48,-54,21
13911,2020-11-16,Haringey,E09000014,-48,-17,21,-51,-54,20
32417,2020-11-16,Kingston upon Thames,E09000021,-60,-20,,-52,-52,21
11963,2020-11-16,Hackney,E09000012,-58,-13,37,-58,-57,22
10015,2020-11-16,Ealing,E09000009,-41,-12,39,-47,-45,18
15859,2020-11-16,Havering,E09000016,-49,-11,-7,-44,-44,16
24624,2020-11-15,Richmond upon Thames,E09000027,-60,-6,17,-59,-43,12
10014,2020-11-15,Ealing,E09000009,-53,-13,7,-53,-37,12
18780,2020-11-15,Islington,E09000019,-73,-16,34,-67,-36,12
28520,2020-11-15,Waltham Forest,E09000031,-48,-10,30,-52,-41,11
5144,2020-11-15,Bexley,E09000004,-61,-18,-15,-54,-31,11
22676,2020-11-15,Newham,E09000025,-61,-20,66,-52,-37,10
12936,2020-11-15,Hammersmith and Fulham,E09000013,-75,-31,10,-64,-43,12
26572,2020-11-15,Sutton,E09000029,-59,-18,9,-57,-36,11
1248,2020-11-15,City of London,E09000001,-87,-65,-84,-78,,
10988,2020-11-15,Enfield,E09000010,-54,-14,0,-45,-31,11
27546,2020-11-15,Tower Hamlets,E09000030,-61,-35,-25,-61,-39,12
13910,2020-11-15,Haringey,E09000014,-59,-21,5,-56,-46,12
9040,2020-11-15,Croydon,E09000008,-64,-15,11,-58,-28,11
7092,2020-11-15,Bromley,E09000006,-62,-15,-3,-55,-31,12
30468,2020-11-15,Greenwich,E09000011,-66,-16,-15,-52,-38,12
17806,2020-11-15,Hounslow,E09000018,-51,-20,5,-49,-37,11
29494,2020-11-15,Wandsworth,E09000032,-62,-27,24,-62,-32,13
25598,2020-11-15,Southwark,E09000028,-65,-20,-13,-63,-39,12
32416,2020-11-15,Kingston upon Thames,E09000021,-72,-23,46,-52,-45,12
20728,2020-11-15,Lewisham,E09000023,-55,-13,28,-56,-37,12
15858,2020-11-15,Havering,E09000016,-62,-20,-1,-48,-29,11
8066,2020-11-15,Camden,E09000007,-79,-39,-8,-76,-38,13
11962,2020-11-15,Hackney,E09000012,-64,-14,17,-57,-34,12
31442,2020-11-15,Kensington and Chelsea,E09000020,-79,-15,2,-67,-41,13
2222,2020-11-15,Westminster,E09000033,-87,-48,-63,-78,-46,13
6118,2020-11-15,Brent,E09000005,-62,-9,27,-49,-40,11
3196,2020-11-15,Barking and Dagenham,E09000002,-49,-15,-3,-42,-31,9
19754,2020-11-15,Lambeth,E09000022,-66,-18,-10,-63,-34,13
21702,2020-11-15,Merton,E09000024,-60,-22,8,-58,-37,12
4170,2020-11-15,Barnet,E09000003,-58,-16,29,-55,-37,12
16832,2020-11-15,Hillingdon,E09000017,-56,-16,51,-72,-32,11
14884,2020-11-15,Harrow,E09000015,-58,-15,37,-45,-30,11
23650,2020-11-15,Redbridge,E09000026,-53,-16,-10,-47,-33,10
26571,2020-11-14,Sutton,E09000029,-58,-16,-24,-60,-35,15
30467,2020-11-14,Greenwich,E09000011,-64,-13,-42,-51,-36,15
24623,2020-11-14,Richmond upon Thames,E09000027,-66,-9,-34,-64,-41,17
25597,2020-11-14,Southwark,E09000028,-68,-21,-41,-63,-37,16
14883,2020-11-14,Harrow,E09000015,-63,-14,-20,-49,-28,15
22675,2020-11-14,Newham,E09000025,-66,-20,17,-58,-37,14
23649,2020-11-14,Redbridge,E09000026,-50,-14,-40,-52,-31,14
27545,2020-11-14,Tower Hamlets,E09000030,-64,-26,-52,-66,-40,17
15857,2020-11-14,Havering,E09000016,-61,-17,-27,-51,-30,14
8065,2020-11-14,Camden,E09000007,-84,-43,-48,-78,-36,18
18779,2020-11-14,Islington,E09000019,-78,-12,-10,-67,-36,17
31441,2020-11-14,Kensington and Chelsea,E09000020,-83,-22,-48,-75,-42,17
21701,2020-11-14,Merton,E09000024,-62,-17,-20,-59,-35,15
9039,2020-11-14,Croydon,E09000008,-64,-11,-2,-59,-29,14
7091,2020-11-14,Bromley,E09000006,-62,-10,-25,-57,-30,15
17805,2020-11-14,Hounslow,E09000018,-53,-11,-35,-49,-34,15
29493,2020-11-14,Wandsworth,E09000032,-67,-13,-13,-60,-35,18
32415,2020-11-14,Kingston upon Thames,E09000021,-74,-22,-10,-60,-38,17
20727,2020-11-14,Lewisham,E09000023,-53,-8,-4,-54,-36,15
10987,2020-11-14,Enfield,E09000010,-53,-14,-33,-48,-30,14
11961,2020-11-14,Hackney,E09000012,-72,-12,-15,-62,-36,16
6117,2020-11-14,Brent,E09000005,-62,-15,-5,-50,-38,15
3195,2020-11-14,Barking and Dagenham,E09000002,-46,-11,-19,-43,-29,12
19753,2020-11-14,Lambeth,E09000022,-69,-15,-42,-63,-35,17
4169,2020-11-14,Barnet,E09000003,-61,-17,-29,-56,-38,15
2221,2020-11-14,Westminster,E09000033,-92,-54,-79,-81,-45,17
16831,2020-11-14,Hillingdon,E09000017,-59,-17,-9,-74,-31,15
13909,2020-11-14,Haringey,E09000014,-60,-20,-29,-56,-45,16
28519,2020-11-14,Waltham Forest,E09000031,-51,-10,-30,-56,-37,15
5143,2020-11-14,Bexley,E09000004,-58,-10,-12,-57,-27,14
10013,2020-11-14,Ealing,E09000009,-54,-15,-23,-53,-36,15
1247,2020-11-14,City of London,E09000001,-91,-63,-88,-78,,
12935,2020-11-14,Hammersmith and Fulham,E09000013,-80,-32,-25,-67,-45,18
29492,2020-11-13,Wandsworth,E09000032,-57,-3,35,-53,-57,27
15856,2020-11-13,Havering,E09000016,-51,-7,9,-42,-43,18
20726,2020-11-13,Lewisham,E09000023,-43,4,49,-48,-53,23
27544,2020-11-13,Tower Hamlets,E09000030,-64,-15,-30,-64,-63,26
23648,2020-11-13,Redbridge,E09000026,-39,-2,11,-42,-45,18
25596,2020-11-13,Southwark,E09000028,-64,-11,-18,-59,-55,24
32414,2020-11-13,Kingston upon Thames,E09000021,-62,-12,,-50,-50,22
10012,2020-11-13,Ealing,E09000009,-40,-5,37,-48,-45,19
26570,2020-11-13,Sutton,E09000029,-48,-2,50,-52,-48,19
10986,2020-11-13,Enfield,E09000010,-40,-2,17,-39,-39,17
17804,2020-11-13,Hounslow,E09000018,-41,-4,37,-40,-44,18
5142,2020-11-13,Bexley,E09000004,-50,-1,42,-47,-45,19
7090,2020-11-13,Bromley,E09000006,-53,0,27,-49,-50,22
30466,2020-11-13,Greenwich,E09000011,-55,-3,6,-41,-50,20
9038,2020-11-13,Croydon,E09000008,-54,1,48,-50,-41,19
8064,2020-11-13,Camden,E09000007,-81,-32,-3,-73,-60,26
22674,2020-11-13,Newham,E09000025,-55,-8,142,-47,-46,18
11960,2020-11-13,Hackney,E09000012,-64,4,38,-53,-54,23
31440,2020-11-13,Kensington and Chelsea,E09000020,-73,-6,-6,-61,-57,23
21700,2020-11-13,Merton,E09000024,-56,-6,15,-50,-48,21
1246,2020-11-13,City of London,E09000001,-92,-71,-85,-79,-65,
16830,2020-11-13,Hillingdon,E09000017,-48,-1,49,-70,-40,18
24622,2020-11-13,Richmond upon Thames,E09000027,-55,0,40,-54,-57,23
2220,2020-11-13,Westminster,E09000033,-89,-45,-61,-75,-63,25
14882,2020-11-13,Harrow,E09000015,-50,4,66,-43,-44,19
4168,2020-11-13,Barnet,E09000003,-48,-8,54,-49,-47,20
28518,2020-11-13,Waltham Forest,E09000031,-38,-3,30,-48,-48,20
13908,2020-11-13,Haringey,E09000014,-47,-8,33,-49,-53,21
18778,2020-11-13,Islington,E09000019,-75,-16,43,-67,-64,29
19752,2020-11-13,Lambeth,E09000022,-65,-5,3,-63,-56,25
3194,2020-11-13,Barking and Dagenham,E09000002,-36,2,33,-32,-35,14
12934,2020-11-13,Hammersmith and Fulham,E09000013,-71,-23,11,-57,-60,25
6116,2020-11-13,Brent,E09000005,-49,2,68,-40,-45,18
32413,2020-11-12,Kingston upon Thames,E09000021,-61,-17,,-52,-52,22
17803,2020-11-12,Hounslow,E09000018,-40,-5,42,-45,-43,17
23647,2020-11-12,Redbridge,E09000026,-40,-8,19,-50,-46,18
22673,2020-11-12,Newham,E09000025,-56,-10,132,-54,-47,17
28517,2020-11-12,Waltham Forest,E09000031,-35,-1,40,-50,-49,19
21699,2020-11-12,Merton,E09000024,-53,-15,26,-53,-53,22
19751,2020-11-12,Lambeth,E09000022,-62,-12,11,-65,-57,25
13907,2020-11-12,Haringey,E09000014,-47,-11,37,-51,-54,21
4167,2020-11-12,Barnet,E09000003,-46,-8,65,-50,-49,20
2219,2020-11-12,Westminster,E09000033,-87,-46,-52,-75,-64,25
31439,2020-11-12,Kensington and Chelsea,E09000020,-70,-8,1,-62,-58,23
16829,2020-11-12,Hillingdon,E09000017,-47,-2,73,-69,-42,18
3193,2020-11-12,Barking and Dagenham,E09000002,-35,-2,37,-36,-36,14
6115,2020-11-12,Brent,E09000005,-46,-1,84,-42,-46,17
1245,2020-11-12,City of London,E09000001,-92,-73,-85,-80,-68,
11959,2020-11-12,Hackney,E09000012,-61,-2,44,-56,-56,23
20725,2020-11-12,Lewisham,E09000023,-41,4,74,-50,-55,22
12933,2020-11-12,Hammersmith and Fulham,E09000013,-68,-23,22,-58,-61,25
10011,2020-11-12,Ealing,E09000009,-38,-4,53,-50,-45,19
5141,2020-11-12,Bexley,E09000004,-47,-3,44,-48,-45,18
29491,2020-11-12,Wandsworth,E09000032,-54,-7,38,-53,-59,27
18777,2020-11-12,Islington,E09000019,-74,-18,37,-68,-66,28
14881,2020-11-12,Harrow,E09000015,-46,-4,75,-44,-42,18
25595,2020-11-12,Southwark,E09000028,-62,-15,-14,-63,-56,24
30465,2020-11-12,Greenwich,E09000011,-51,-3,16,-46,-53,20
10985,2020-11-12,Enfield,E09000010,-41,-2,31,-42,-41,17
24621,2020-11-12,Richmond upon Thames,E09000027,-50,0,70,-54,-59,24
8063,2020-11-12,Camden,E09000007,-80,-34,-3,-73,-63,26
15855,2020-11-12,Havering,E09000016,-49,-4,15,-45,-43,18
9037,2020-11-12,Croydon,E09000008,-52,0,55,-52,-43,19
7089,2020-11-12,Bromley,E09000006,-51,-5,37,-54,-51,22
26569,2020-11-12,Sutton,E09000029,-45,-7,53,-54,-49,19
27543,2020-11-12,Tower Hamlets,E09000030,-64,-20,-20,-66,-64,27
17802,2020-11-11,Hounslow,E09000018,-42,-12,25,-45,-42,18
7088,2020-11-11,Bromley,E09000006,-51,-9,16,-51,-51,22
10984,2020-11-11,Enfield,E09000010,-42,-7,15,-40,-41,17
20724,2020-11-11,Lewisham,E09000023,-42,-2,44,-49,-52,22
29490,2020-11-11,Wandsworth,E09000032,-55,-12,22,-56,-59,27
32412,2020-11-11,Kingston upon Thames,E09000021,-62,-19,,-54,-52,22
31438,2020-11-11,Kensington and Chelsea,E09000020,-71,-10,-8,-62,-58,23
21698,2020-11-11,Merton,E09000024,-55,-18,15,-52,-52,21
4166,2020-11-11,Barnet,E09000003,-46,-11,37,-48,-49,21
22672,2020-11-11,Newham,E09000025,-58,-14,118,-51,-45,18
15854,2020-11-11,Havering,E09000016,-50,-12,1,-43,-43,17
23646,2020-11-11,Redbridge,E09000026,-43,-7,4,-46,-45,18
25594,2020-11-11,Southwark,E09000028,-63,-17,-20,-62,-58,24
24620,2020-11-11,Richmond upon Thames,E09000027,-54,-5,27,-56,-59,24
26568,2020-11-11,Sutton,E09000029,-43,-3,45,-53,-51,20
19750,2020-11-11,Lambeth,E09000022,-62,-15,1,-67,-56,25
18776,2020-11-11,Islington,E09000019,-74,-22,22,-69,-65,29
2218,2020-11-11,Westminster,E09000033,-87,-46,-58,-76,-64,25
5140,2020-11-11,Bexley,E09000004,-46,-7,33,-49,-46,19
12932,2020-11-11,Hammersmith and Fulham,E09000013,-68,-28,8,-57,-61,25
28516,2020-11-11,Waltham Forest,E09000031,-36,-5,17,-51,-47,19
13906,2020-11-11,Haringey,E09000014,-50,-14,15,-53,-53,21
1244,2020-11-11,City of London,E09000001,-91,-72,-86,-81,-66,
16828,2020-11-11,Hillingdon,E09000017,-48,-11,54,-69,-41,18
6114,2020-11-11,Brent,E09000005,-48,-4,44,-44,-45,17
9036,2020-11-11,Croydon,E09000008,-50,-7,31,-52,-42,19
3192,2020-11-11,Barking and Dagenham,E09000002,-36,-2,14,-40,-35,14
27542,2020-11-11,Tower Hamlets,E09000030,-64,-22,-29,-66,-63,26
8062,2020-11-11,Camden,E09000007,-80,-39,-7,-74,-62,26
10010,2020-11-11,Ealing,E09000009,-40,-11,29,-49,-46,19
14880,2020-11-11,Harrow,E09000015,-48,-6,51,-43,-42,18
11958,2020-11-11,Hackney,E09000012,-60,-9,35,-58,-56,23
30464,2020-11-11,Greenwich,E09000011,-53,-5,-4,-45,-51,20
32411,2020-11-10,Kingston upon Thames,E09000021,-61,-18,,-52,-53,21
14879,2020-11-10,Harrow,E09000015,-47,-4,91,-43,-40,18
8061,2020-11-10,Camden,E09000007,-79,-36,3,-73,-63,24
26567,2020-11-10,Sutton,E09000029,-45,-11,51,-52,-50,19
10009,2020-11-10,Ealing,E09000009,-40,-9,54,-48,-45,18
11957,2020-11-10,Hackney,E09000012,-59,-8,49,-55,-56,22
10983,2020-11-10,Enfield,E09000010,-40,-7,34,-42,-41,16
29489,2020-11-10,Wandsworth,E09000032,-54,-12,35,-53,-60,26
5139,2020-11-10,Bexley,E09000004,-46,-7,42,-48,-47,18
3191,2020-11-10,Barking and Dagenham,E09000002,-36,-9,50,-35,-37,13
21697,2020-11-10,Merton,E09000024,-53,-16,34,-49,-52,21
24619,2020-11-10,Richmond upon Thames,E09000027,-54,-2,40,-57,-60,23
1243,2020-11-10,City of London,E09000001,-90,-73,-84,-80,-67,
16827,2020-11-10,Hillingdon,E09000017,-47,-7,63,-69,-42,18
2217,2020-11-10,Westminster,E09000033,-86,-46,-52,-75,-65,24
20723,2020-11-10,Lewisham,E09000023,-42,-1,72,-49,-54,22
4165,2020-11-10,Barnet,E09000003,-45,-11,75,-47,-49,20
31437,2020-11-10,Kensington and Chelsea,E09000020,-69,-9,0,-63,-59,22
9035,2020-11-10,Croydon,E09000008,-51,-3,48,-52,-44,19
12931,2020-11-10,Hammersmith and Fulham,E09000013,-67,-25,13,-56,-62,24
18775,2020-11-10,Islington,E09000019,-72,-21,34,-68,-66,27
28515,2020-11-10,Waltham Forest,E09000031,-38,-7,45,-49,-50,18
23645,2020-11-10,Redbridge,E09000026,-40,-5,24,-46,-48,17
22671,2020-11-10,Newham,E09000025,-51,-12,154,-50,-48,17
6113,2020-11-10,Brent,E09000005,-48,-5,83,-43,-45,17
17801,2020-11-10,Hounslow,E09000018,-39,-11,46,-44,-44,18
27541,2020-11-10,Tower Hamlets,E09000030,-62,-20,-19,-66,-64,26
19749,2020-11-10,Lambeth,E09000022,-62,-13,17,-65,-55,24
25593,2020-11-10,Southwark,E09000028,-61,-16,-8,-62,-58,23
13905,2020-11-10,Haringey,E09000014,-46,-13,43,-50,-56,20
30463,2020-11-10,Greenwich,E09000011,-51,-8,14,-42,-53,20
7087,2020-11-10,Bromley,E09000006,-50,-5,31,-51,-51,21
15853,2020-11-10,Havering,E09000016,-49,-8,8,-44,-43,17
3190,2020-11-09,Barking and Dagenham,E09000002,-35,-8,39,-37,-37,13
16826,2020-11-09,Hillingdon,E09000017,-48,-11,52,-71,-41,17
13904,2020-11-09,Haringey,E09000014,-47,-18,37,-51,-54,20
31436,2020-11-09,Kensington and Chelsea,E09000020,-71,-14,-11,-62,-58,22
4164,2020-11-09,Barnet,E09000003,-48,-12,50,-49,-49,19
30462,2020-11-09,Greenwich,E09000011,-51,-11,7,-41,-52,19
23644,2020-11-09,Redbridge,E09000026,-42,-12,20,-46,-46,17
2216,2020-11-09,Westminster,E09000033,-84,-47,-54,-75,-64,24
24618,2020-11-09,Richmond upon Thames,E09000027,-52,-12,29,-56,-59,22
1242,2020-11-09,City of London,E09000001,-89,-75,-87,-80,-66,
15852,2020-11-09,Havering,E09000016,-49,-13,-2,-43,-43,16
27540,2020-11-09,Tower Hamlets,E09000030,-61,-25,-22,-64,-65,25
9034,2020-11-09,Croydon,E09000008,-52,-10,52,-49,-41,18
12930,2020-11-09,Hammersmith and Fulham,E09000013,-69,-33,13,-54,-61,24
21696,2020-11-09,Merton,E09000024,-54,-20,19,-47,-52,20
5138,2020-11-09,Bexley,E09000004,-47,-12,42,-48,-46,17
22670,2020-11-09,Newham,E09000025,-55,-16,154,-48,-48,17
25592,2020-11-09,Southwark,E09000028,-60,-19,-8,-61,-57,23
10008,2020-11-09,Ealing,E09000009,-42,-12,42,-47,-45,18
18774,2020-11-09,Islington,E09000019,-71,-27,18,-65,-66,26
32410,2020-11-09,Kingston upon Thames,E09000021,-60,-21,,-52,-52,21
28514,2020-11-09,Waltham Forest,E09000031,-37,-8,33,-49,-49,18
26566,2020-11-09,Sutton,E09000029,-46,-12,47,-52,-49,18
14878,2020-11-09,Harrow,E09000015,-45,-9,75,-45,-42,18
8060,2020-11-09,Camden,E09000007,-78,-43,9,-73,-63,24
10982,2020-11-09,Enfield,E09000010,-40,-11,45,-42,-41,15
